brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
Casio,G'zOne Brigade,2010,February,"167,535",16,2.9,400,240,3,Video recorder,256MB,192MB,1440,CDMA / EVDO,112.8,56.2,24.6,,,,,microSDHC,No,No,No,2.1,Yes,No,
Bosch,Com 207,1997,,"92,202",5,,1,10,,No video recorder,,,600,GSM,147,56,23,,,,,No,,No,No,No,No,No,
BQ, Aquaris M10,2015,Released,"76,379",6,10.1,800,1280,5,1080p,16GB,2GB,7280,No cellular connectivity,246,171,8.2,Android 5.1 (Lollipop),Mediatek MT8163B,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,230
Blackview,A7,2017,,"98,222",1,5.0,720,1280,5,1080p,8GB,1GB,2800,GSM / HSPA,143,71,9.5,Android 7.0 (Nougat),Mediatek MT6580A (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,No,60
ZTE,Axon 10 Pro 5G,2019,February,"465,083",98,6.47,1080,2340,48,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE / 5G,159.2,73.4,7.9,"Android 9.0 (Pie), MiFavor 9.1",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,900
ZTE,nubia Alpha,2019,February,"237,033",65,4.01,192,960,5,,8GB,1GB,500,GSM / HSPA / LTE,47.1,35,13.8,Proprietary platform,Qualcomm MSM8909W Snapdragon Wear 2100,Quad-core 1.1 GHz Cortex-A7,Adreno 304,No,Yes,No,Wi-Fi,5.0,Yes,No,450
BLU,C6,2018,June,"65,504",0,5.5,720,1280,8,1080p,16GB,1GB,2500,GSM / HSPA,152.2,77.6,9.4,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,100
BLU,Studio G4,2018,July,"47,408",0,5.2,720,1280,8,1080p,16GB,1GB,2000,GSM / HSPA,141.5,73.5,8.5,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,80
BenQ-Siemens,S68,2006,January,"288,866",9,1.8,132,176,,No video recorder,26MB,,660,GSM,107.5,44,13.2,,,,,No,,No,No,1.2,No,No,
ZTE,Blade X,2017,October,"180,461",6,5.5,720,1280,13,1080p,16GB,2GB,3000,GSM / HSPA / LTE,156,77.5,8.9,Android 7.1.1 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,120
ZTE,Maven 2,2017,July,"68,725",3,5.0,480,854,5,720p,8GB,1GB,2300,GSM / HSPA / LTE,145.5,73,11,Android 6.0.1 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz,Adreno 304,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,60
BLU,C5 LTE,2017,November,"42,124",0,5.0,480,854,5,720p,8GB,1GB,2000,GSM / HSPA / LTE,144.4,73.2,10,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Grand M2 LTE,2017,October,"41,765",0,5.2,480,854,5,1080p,8GB,1GB,2600,GSM / HSPA / LTE,144.9,72.1,9.4,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
Bird,S288 Plus,2003,,"53,210",5,,112,80,,No video recorder,,,670,GSM,103,44,12,,,,,No,,No,No,No,No,No,
Bird,S788,2004,,"49,293",5,,112,80,,No video recorder,,,670,GSM,115,45,14,,,,,No,,No,No,No,No,No,
ZTE,Blade A520,2017,March,"400,552",13,5.0,720,1280,8,1080p,8GB,1GB,2400,GSM / HSPA / LTE,144,71,8.4,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,80
ZTE,nubia Z17 mini,2017,April,"767,609",80,5.2,1080,1920,13,2160p,64GB,4GB,2950,GSM / HSPA / LTE,146.7,72.5,7.5,"Android 6.1 (Marshmallow), nubia UI 4","Qualcomm MSM8976 Snapdragon 652 (28 nm) - Standard edition,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm) - High edition",Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,170
BLU,Studio Mega,2017,June,"94,715",4,6.0,720,1280,8,1080p,8GB,1GB,2500,GSM / HSPA,166.2,83.9,9.5,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Studio J2,2017,May,"74,713",1,5.0,480,854,5,720p,8GB,512MB,2000,GSM / HSPA,144.9,72.9,10.4,Android 6.0 (Marshmallow),Mediatek MT6570 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,
BLU,Grand XL,2017,June,"102,916",1,5.5,720,1280,8,1080p,8GB,1GB,2650,GSM / HSPA,157.5,78.6,9.1,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Grand X LTE,2017,June,"56,438",2,5.0,720,1280,8,1080p,8GB,1GB,2400,GSM / HSPA / LTE,147.2,72,8.9,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
ZTE,Grand X Max 2,2016,May,"364,517",9,6.0,1080,1920,13,1080p,16GB,2GB,3400,GSM / HSPA / LTE,164.1,83.8,8.9,Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,No,210
ZTE,Blade L110 (A110),2016,July,"211,364",5,4.0,480,800,5,Video recorder,4GB,512MB,1400,GSM / UMTS / HSPA / LTE,125,64.4,10.4,Android 5.1 (Lollipop),Spreadtrum SC7731G,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,FM,70
BLU,Advance 4.0 M,2016,November,"67,173",0,4.0,480,800,2,720p,4GB,512MB,1300,GSM / HSPA,123.6,61.5,10.3,Android 6.0 (Marshmallow),,Quad-core 1.2 GHz,Mali-400,microSDXC,Yes,Yes,Wi-Fi,2.1,Yes,FM,
BLU,Life Max,2016,November,"97,984",3,5.5,720,1280,8,1080p,16GB,2GB,3150,GSM / HSPA / LTE,154.5,77.1,8.7,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
BLU,Studio G2 HD,2016,December,"62,134",0,5.0,720,1280,5,1080p,8GB,1GB,2000,GSM / HSPA,146,73.6,10.5,Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BlackBerry,7100t,2004,,"447,419",9,2.36,240,260,,No video recorder,32MB,4MB,,GSM,119,58,19,BlackBerry OS,,,,No,No,No,No,Yes,No,No,
ZTE,Blade S7,2015,October,"427,249",50,5.0,1080,1920,13,1080p,32GB,3GB,2500,GSM / HSPA / LTE,142,67,7.2,"Android 5.1 (Lollipop), MiFavor UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,280
ZTE,Axon,2015,October,"383,463",45,5.5,1080,1920,13,1080p,32GB,2GB,3000,GSM / HSPA / LTE,153.9,73.7,9.4,Android 5.1.1 (Lollipop),Qualcomm MSM8974 Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,290
BLU,Grand 5.5 HD,2016,July,"169,031",6,5.5,720,1280,8,1080p,8GB,1GB,2500,GSM / HSPA,155.2,79,9.6,Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,R1 HD,2016,June,"573,655",25,5.0,720,1280,8,1080p,8GB,1GB,2500,GSM / HSPA / LTE,143.5,72,8.7,Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,
BLU,Neo X LTE,2016,August,"43,744",0,5.0,480,854,5,720p,8GB,1GB,2500,GSM / HSPA / LTE,146.1,73.8,7.5,Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BlackBerry,Curve Touch CDMA,,,"224,097",12,3.25,480,360,5,720p,1GB,512MB,,CDMA / EVDO,-,,,BlackBerry OS 6.1,Qualcomm MSM8655 Snapdragon S2,800 MHz Scorpion,Adreno 205,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,
BlackBerry,Curve Touch,,,"262,303",10,3.25,480,360,5,720p,1GB,512MB,,GSM / HSPA,-,,,BlackBerry OS 6.1,Qualcomm MSM8655 Snapdragon S2,800 MHz Scorpion,Adreno 205,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,No,
ZTE,nubia Z9 Max,2015,March,"769,835",68,5.5,1080,1920,16,2160p,16GB,3GB,2900,GSM / CDMA / HSPA / LTE,154.8,76.6,7.9,"Android 5.0.2 (Lollipop), nubia UI 2.8",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,No,200
ZTE,Blade S6 Plus,2015,April,"409,178",35,5.5,720,1280,13,1080p,16GB,2GB,3000,GSM / HSPA / LTE,155,78,7.7,"Android 5.2 (Lollipop), MiFavor 3",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,280
BLU,Dash X Plus LTE,2016,March,"60,366",9,5.5,720,1280,8,1080p,8GB,1GB,2750,GSM / HSPA / LTE,158.8,77.7,10.2,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Studio One,2016,February,"179,623",14,5.0,720,1280,13,1080p,16GB,2GB,2450,GSM / HSPA / LTE,141.5,71,7.6,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Life Mark,2016,March,"149,367",16,5.0,720,1280,13,1080p,16GB,2GB,2300,GSM / HSPA / LTE,142.4,72,9.5,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Studio X Mini,2016,March,"71,648",9,4.5,480,854,5,720p,8GB,1GB,1800,GSM / HSPA / LTE,133.7,65.8,10.8,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
ZTE,Blade Vec 4G,2014,September,"470,955",25,5.0,720,1280,8,1080p,16GB,1GB,2300,GSM / HSPA / LTE,142.3,70.4,7.8,Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,180
BLU,Dash X Plus,2015,October,"130,808",5,5.5,720,1280,8,1080p,8GB,1GB,2750,GSM / HSPA,158.8,77.7,10.2,Android 5.0 (Lollipop),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Studio Energy 2,2015,October,"231,759",18,5.0,720,1280,8,1080p,16GB,5GB,5000,GSM / HSPA / LTE,144,71.2,10.1,Android 5.0 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Studio One Plus,2016,February,"321,810",22,5.5,1080,1920,13,1080p,16GB,2GB,3200,GSM / HSPA / LTE,143.5,71.2,8.7,Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Dash X,2015,October,"149,444",5,5.0,720,1280,8,1080p,8GB,1GB,2000,GSM / HSPA,142.5,71,9.3,Android 5.1 (Lollipop),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
ZTE,Zmax,2014,September,"796,593",41,5.7,720,1280,8,1080p,16GB,2GB,3400,GSM / HSPA / LTE,162.6,83.8,8.9,Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,200
BLU,Dash M,2015,October,"179,984",6,5.0,480,854,5,720p,4GB,768MB,1800,GSM / HSPA,145.2,73.2,9.1,Android 5.0 (Lollipop),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Life One (2015),2015,January,"528,966",13,5.0,720,1280,13,1080p,8GB,1GB,2420,GSM / HSPA / LTE,143.5,72.1,7.5,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Win JR LTE,2015,April,"165,350",7,4.5,480,854,5,720p,4GB,512MB,2000,GSM / HSPA / LTE,133,67.5,9.5,"Microsoft Windows Phone 8.1, upgradable to Windows 10",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Win HD LTE,2015,April,"301,582",22,5.0,720,1280,8,1080p,8GB,1GB,2500,GSM / HSPA / LTE,145,72,8.2,"Microsoft Windows Phone 8.1, upgradable to Windows 10",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Selfie,2015,April,"205,967",6,4.7,720,1280,13,1080p,16GB,2GB,2300,GSM / HSPA,146,66.3,9.6,Android 4.4.2 (KitKat),,Octa-core 1.7 GHz,,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Advance 4.0 L,2015,May,"233,682",2,4.0,480,800,3,720p,4GB,512MB,1300,GSM / HSPA,128,66,11,Android 4.4 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Studio C,2015,May,"116,112",1,5.0,720,1280,8,1080p,8GB,1GB,3000,GSM / HSPA,144,72.4,9.4,Android 5.0 (Lollipop),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Studio 5.5C,2015,May,"97,825",1,5.5,480,854,5,720p,4GB,512MB,2820,GSM / HSPA,155,79,9.9,"Android 4.4 (KitKat), upgradable to 5.0 (Lollipop)",Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Studio 5.0 C,2014,August,"224,517",6,5.0,480,854,5,720p,4GB,512MB,1800,GSM / HSPA,145,73,9.7,Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,80
BLU,Studio C Mini,2014,August,"196,657",3,4.7,480,800,5,1080p,4GB,512MB,2000,GSM / HSPA,138,71.5,9.5,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,
BLU,Studio 5.0 C HD,2014,August,"502,572",22,5.0,720,1280,8,1080p,4GB,1GB,2000,GSM / HSPA,146,74,9.3,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,110
BLU,Win HD,2014,September,"363,415",27,5.0,720,1280,8,1080p,8GB,1GB,2200,GSM / HSPA,144.8,69.9,7.8,Microsoft Windows Phone 8.1,Qualcomm Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,FM,150
BLU,Win JR,2014,September,"210,018",10,4.0,480,800,5,720p,4GB,512MB,1950,GSM / HSPA,125,64,10.6,Microsoft Windows Phone 8.1,Qualcomm Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDXC,Yes,Yes,Wi-Fi,3.0,Yes,FM,
BLU,Dash C Music,2014,November,"127,954",1,4.0,480,800,3,720p,4GB,512MB,1450,GSM / HSPA,125,63.8,12.5,Android 4.4.2 (KitKat),,Dual-core 1.0 GHz,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,
BLU,Life Play Mini,2014,October,"150,723",1,4.0,480,800,3,720p,4GB,512MB,1450,GSM / HSPA,127,64.4,9.4,Android 4.4.2 (KitKat),,Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,70
BLU,Studio 5.0 II,2013,December,"279,097",3,5.0,480,854,5,720p,4GB,512MB,2000,GSM / HSPA,146,73,9.7,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,90
BLU,Life Pure,2013,December,"509,283",30,5.0,1080,1920,13,1080p,32GB,2GB,2020,GSM / HSPA,142,69.4,7.7,Android 4.2 (Jelly Bean),Mediatek MT6589T (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,240
BLU,Life One M,2014,January,"165,411",3,5.0,720,1280,12,1080p,4GB,1GB,2000,GSM / HSPA,144,74,,Android 4.2 (Jelly Bean),Mediatek MT6589T (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,140
BLU,Life One X,2014,January,"317,604",14,5.0,1080,1920,13,1080p,16GB,2GB,2000,GSM / HSPA,143.5,71.6,8.6,Android 4.2.1 (Jelly Bean),Mediatek MT6589T (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,210
BLU,Life Play X,2013,December,"174,881",14,4.7,720,1280,8,1080p,16GB,1GB,1800,GSM / HSPA,137,68.4,7.9,Android 4.2 (Jelly Bean),Mediatek MT6589T (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,200
BLU,Life Play S,2014,January,"229,219",7,4.7,720,1280,8,1080p,4GB,1GB,1800,GSM / HSPA,137.5,67.5,7.8,Android 4.2 (Jelly Bean),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,130
BLU,Life View Tab,2014,January,"147,882",5,8.0,768,1024,5,1080p,8GB,1GB,4500,GSM / HSPA,205,138.2,,Android 4.2 (Jelly Bean),Mediatek MT8389M,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,360
BLU,Life View,2013,March,"462,190",43,5.7,720,1280,12,1080p,16GB,1GB,2600,GSM / HSPA,161,82.5,8.9,Android 4.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,No,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,230
BLU,Tattoo S,2013,March,"81,073",2,2.0,176,220,1,Video recorder,64MB,64MB,620,GSM,102,57.8,8.3,,,,,microSDHC,No,Yes,No,3.0,No,FM,20
BLU,Diva,2013,April,"133,410",2,2.4,240,320,,Video recorder,32MB,32MB,820,GSM,119,51,14,,,,,microSDHC,No,Yes,No,3.0,No,FM,30
BLU,Diva X,2013,April,"125,085",8,2.8,240,320,1,Video recorder,64MB,64MB,1400,GSM,127,55,13.5,,,,,microSDHC,No,Yes,No,3.0,No,FM,30
BLU,Dash Music,2013,April,"103,712",2,3.5,320,480,2,480p,512MB,256MB,1500,GSM / HSPA,124,63,13.4,Android 2.3 (Gingerbread),Qualcomm MSM7225A Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,80
BLU,Studio 5.0,2013,April,"766,532",14,5.0,480,800,5,720p,4GB,512MB,2000,GSM / HSPA,144,74,10.7,Android 4.1 (Jelly Bean),Mediatek MT6577 (40 nm),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,100
BLU,Studio 5.0 S,2013,April,"274,609",18,5.0,540,960,8,720p,4GB,1GB,2000,GSM / HSPA,143,72,8.9,Android 4.1.2 (Jelly Bean),Qualcomm MSM8225Q Snapdragon S4 Play,Quad-core 1.2 GHz Cortex-A5,Adreno 203,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,130
BLU,Jenny TV,2012,June,"108,512",8,2.4,240,320,,Video recorder,32MB,32MB,820,GSM,119,49,14,,,,,microSDHC,No,Yes,No,2.1,No,FM,30
BLU,Hero,2011,November,"98,338",9,2.8,240,320,1,Video recorder,64MB,32MB,950,GSM,104,57,13,,,,,microSDHC,No,Yes,No,2.1,No,Stereo,40
BLU,Dash,2011,December,"156,119",11,2.8,240,320,2,Video recorder,512MB,256MB,1110,GSM / HSPA,103,56,12,Android 2.3 (Gingerbread),Mediatek MT6573 (65 nm),650 MHz Cortex-A9,PowerVR SGX531,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,70
BLU,Elite 3.8,2012,July,"172,760",13,3.8,480,800,5,480p,1GB,512MB,1600,GSM / HSPA,120,60,11.3,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM7227A Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,130
BLU,Dash 3.5,2012,September,"292,829",14,3.5,320,480,3,Video recorder,512MB,256MB,1300,GSM / HSPA,115,62,11.5,Android 4.2 (Jelly Bean),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,70
BLU,Touch Book 7.0 Lite,2012,September,"122,730",3,7.0,480,800,,Video recorder,4GB,512MB,3000,No cellular connectivity,194,120,10,Android 4.0 (Ice Cream Sandwich),,1.2 GHz Cortex-A8,Mali-400,microSDHC,Yes,Yes,Wi-Fi,No,Yes,Stereo,70
BLU,Touch Book 7.0 Plus,2012,September,"99,166",2,7.0,480,800,3,480p,512MB,512MB,3500,GSM / HSPA,197,120,13,Android 4.0 (Ice Cream Sandwich),Qualcomm MSM7227A Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,microSDHC,Yes,Yes,Wi-Fi,3.0,Yes,Stereo,70
BLU,Lindy,2011,July,"77,922",8,1.77,160,128,,No video recorder,64MB,32MB,750,GSM,101,56.2,13.7,,,,,microSDHC,,Yes,No,No,No,Stereo,
BLU,Samba JR,2011,July,"132,850",9,1.77,160,128,,No video recorder,64MB,32MB,850,GSM,99.3,55.9,13.8,,,,,microSDHC,,Yes,No,No,No,Stereo,30
ZTE,Xiang,2009,Released,"93,108",11,2.5,320,240,3,Video recorder,256MB,256MB,1300,GSM / HSPA,114,66,11.9,Microsoft Windows Mobile 6.1 Professional,Qualcomm MSM7225 Snapdragon S1,528 MHz ARM 11,No,microSDHC,Yes,No,Wi-Fi,2.0,Yes,Stereo,
ZTE,Raise,2009,Released,"98,457",10,3.2,240,320,5,Video recorder,,,1250,GSM / HSPA,112,57,12.5,Microsoft Windows Mobile 6.1 Professional,,,,microSDHC,Yes,Yes,Wi-Fi,2.0,Yes,Stereo,
ZTE,E811,2009,Released,"79,977",7,2.5,320,240,2,Video recorder,,,,GSM,113,65.4,14.5,,,,,microSDHC,No,No,No,2.0,No,,
ZTE,X760,2009,March,"136,540",9,2.4,240,320,1,Video recorder,,,,GSM,93,52,16,,,,,microSDHC,No,No,No,2.0,No,Stereo,
ZTE,Bingo,2010,February,"126,204",8,3.2,240,320,5,Video recorder,,,,GSM / HSPA,-,,,,,,,microSDHC,,No,,2.0,Yes,,
ZTE,X990,2010,March,"164,127",8,2.5,320,240,2,Video recorder,5MB,,,GSM,107,61,12,Microsoft Windows Mobile 6.5 Professional,,,,microSDHC,Yes,No,No,2.0,No,Stereo,
BLU,Click,2010,September,"105,643",8,1.77,128,160,,No video recorder,,,800,GSM,103,44,15,,,,,microSD,No,No,No,No,No,Stereo,
BLU,Deejay,2010,September,"128,639",7,1.77,128,160,,No video recorder,,,800,GSM,103,44,15,,,,,microSD,,No,No,No,No,Stereo,40
