brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
Nokia,X2-05,2011,October,"1,477,959",50,2.2,240,320,,No video recorder,64MB,,800,GSM,113,50,15,,,,,microSDHC,No,Yes,No,2.1,No,FM,90
Nokia,Lumia 505,2012,December,"1,961,007",192,3.7,480,800,8,480p,4GB,256MB,1300,GSM / HSPA,118.1,61.2,11.3,Microsoft Windows Phone 7.8,Qualcomm MSM7227A Snapdragon S1,800 MHz Cortex-A5,Adreno 200,No,Yes,Yes,Wi-Fi,2.1,Yes,Stereo,140
Nokia,Lumia 620,2012,December,"13,308,794",1355,3.8,480,800,5,720p,8GB,512MB,1300,GSM / HSPA,115.4,61.1,11,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm Snapdragon S4,Dual-core 1.0 GHz Krait,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,120
Nokia,Asha 310,2013,February,"2,111,272",102,3.0,240,400,2,144p,20MB,64MB,1110,GSM,109.9,54,13,,,,,microSDHC,Wi,Yes,Wi-Fi,3.0,No,Stereo,80
Nokia,105,2013,February,"4,378,873",149,1.45,128,128,,No video recorder,8MB,,800,GSM,107,44.8,14.3,,,,,No,,Yes,No,No,No,FM,20
Nokia,301,2013,February,"4,760,794",259,2.4,240,320,3,240p,256MB,64MB,1110,GSM / HSPA,114,50,12.5,,,,,microSDHC,No,Yes,No,2.1,No,Stereo,70
Nokia,Lumia 520,2013,February,"30,881,547",1460,4.0,480,800,5,720p,8GB,512MB,1430,GSM / HSPA,119.9,64,9.9,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8227,Dual-core 1.0 GHz,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,70
Nokia,Lumia 720,2013,February,"13,369,097",1198,4.3,480,800,6,720p,8GB,512MB,2000,GSM / HSPA,127.9,67.5,,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8227,Dual-core 1.0 GHz,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,200
Nokia,Asha 210,2013,April,"6,167,307",311,2.4,320,240,2,144p,64MB,32MB,1200,GSM,111.5,60,11.8,,,,,microSDHC,Wi,Yes,Wi-Fi,2.1,No,Stereo,50
Nokia,Asha 501,2013,May,"11,294,531",563,3.0,240,320,3,240p,128MB,64MB,1200,GSM,99.2,58,12.1,"Nokia Asha software platform 1.0, upgradable to 1.4",,,,microSDHC,Yes,Yes,Wi-Fi,3.0,No,FM,80
Nokia,Lumia 928,2013,April,"2,634,704",369,4.5,768,1280,8,1080p,32GB,1GB,2000,GSM / CDMA / HSPA / EVDO / LTE,133,68.9,10.1,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,No,Yes,Yes,Wi-Fi,4.0,Yes,No,380
Nokia,Lumia 925,2013,May,"9,265,968",1059,4.5,768,1280,8,1080p,16GB,1GB,2000,GSM / HSPA / LTE,129,70.6,8.5,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,260
Nokia,207,2013,July,"1,053,738",79,2.4,240,320,,No video recorder,256MB,64MB,1020,GSM / HSPA,114.2,50.9,12.8,,,,,microSDHC,,Yes,No,3.0,No,Stereo,60
Nokia,208,2013,July,"3,190,072",112,2.4,240,320,1,240p,256MB,64MB,1020,GSM / HSPA,114.2,50.9,12.8,,,,,microSDHC,No,Yes,No,3.0,No,Stereo,60
Oppo,N1 mini,2014,August,"1,250,743",40,5.0,720,1280,13,1080p,16GB,2GB,2140,GSM / HSPA / LTE,148.4,72.2,9.2,"Android 4.3 (Jelly Bean), ColorOS 1.4",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,No,Yes,Yes,Wi-Fi,4.0,Yes,No,330
Oppo,R3,2014,June,"497,693",32,5.0,720,1280,8,1080p,8GB,1GB,2410,GSM / LTE,142.3,70.4,6.3,Android 4.3 (Jelly Bean),Qualcomm Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,270
Oppo,Neo 5,2014,August,"6,924,641",50,4.5,480,854,5,720p,4GB,1GB,1900,GSM / HSPA,132,65.8,9.2,"Android 4.3 (Jelly Bean), ColorOS 1.4",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,140
Oppo,R1001 Joy,2014,May,"6,247,833",36,4.0,480,800,3,720p,4GB,512MB,1700,GSM / HSPA,124,63,9.9,Android 4.2.1 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,100
Oppo,R2001 Yoyo,2014,May,"1,980,362",28,4.7,540,960,5,720p,4GB,1GB,1900,GSM / HSPA,138.5,69.5,9.2,Android 4.2.1 (Jelly Bean),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,FM,200
Oppo,Find 5 Mini,2014,January,"2,619,874",36,4.7,540,960,8,720p,4GB,1GB,2000,GSM / HSPA,137,68,7.7,Android 4.2.2 (Jelly Bean),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,240
Oppo,Neo 3,2014,August,"6,491,801",38,4.5,480,854,5,720p,4GB,1GB,1900,GSM / HSPA,132,65.8,9.2,Android 4.2.1 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,FM,130
Oppo,R1S,2014,April,"919,905",30,5.0,720,1280,13,1080p,16GB,1GB,2410,GSM / HSPA / LTE,142.7,70.4,7.1,Android 4.3 (Jelly Bean),Qualcomm Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,No,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,290
Oppo,N3,2014,October,"2,217,791",105,5.5,1080,1920,16,1080p,32GB,2GB,3000,GSM / HSPA / LTE,161.2,77,9.9,"Android 4.4.4 (KitKat), ColorOS 2",Qualcomm MSM8974AA Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,550
Oppo,R5,2014,October,"5,290,100",109,5.2,1080,1920,13,1080p,16GB,2GB,2000,GSM / HSPA / LTE,148.9,74.5,4.9,"Android 4.4.4 (KitKat), ColorOS 2",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,No,Yes,No,Wi-Fi,4.0,Yes,No,400
Oppo,R1x,2015,January,"1,451,432",50,5.0,720,1280,13,1080p,16GB,2GB,2420,GSM / HSPA / LTE,140.6,70.1,6.8,"Android 4.4 (KitKat), ColorOS 2",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,340
Oppo,A31 (2015),2015,April,"454,111",23,4.5,480,854,8,1080p,8GB,1GB,2000,GSM / LTE,131.9,65.5,,Android 4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,150
Oppo,Mirror 3,2015,January,"1,779,425",35,4.7,720,1280,8,1080p,8GB,1GB,2000,GSM / HSPA / LTE,137.7,68.8,8.9,Android 4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,270
Nokia,Lumia 1020,2013,July,"14,913,066",1727,4.5,768,1280,41,1080p,32GB,2GB,2000,GSM / HSPA / LTE,130.4,71.4,10.4,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,No,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,400
Oppo,U3,2015,January,"443,573",33,5.9,1080,1920,13,1080p,16GB,2GB,3000,GSM / LTE,156.8,81,,"Android 4.4.4 (KitKat), ColorOS 2",Mediatek MT6752 (28 nm),Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,No,
Nokia,Lumia 625,2013,July,"13,098,886",510,4.7,480,800,5,1080p,8GB,512MB,2000,GSM / HSPA / LTE,133.3,72.3,9.2,"Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8930 Snapdragon 400 (28 nm),Dual-core 1.2 GHz Krait,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,160
Nokia,106,2013,August,"1,237,123",39,1.8,128,160,,No video recorder,,,800,GSM,112.9,47.5,14.9,,,,,No,,Yes,No,No,No,FM,20
Nokia,107 Dual SIM,2013,August,"2,048,034",59,1.8,128,160,,No video recorder,4MB,4MB,1020,GSM,112.9,47.5,14.9,,,,,microSDHC,,Yes,No,No,No,FM,20
Nokia,515,2013,August,"3,750,856",231,2.4,240,320,5,240p,256MB,64MB,1200,GSM / HSPA,114,48,11,,,,,microSDHC,No,Yes,No,3.0,No,Stereo,140
Nokia,108 Dual SIM,2013,September,"3,559,295",64,1.8,128,160,,240p,4MB,4MB,950,GSM,110.4,47,13.5,,,,,microSDHC,No,Yes,No,3.0,No,Stereo,30
Nokia,Asha 500,2013,October,"1,231,558",54,2.8,240,320,2,240p,64MB,64MB,1200,GSM,100.3,58.1,12.8,"Nokia Asha software platform 1.1.1, upgradable to 1.4",,,,microSDHC,Yes,Yes,Wi-Fi,3.0,No,Stereo,60
Nokia,Asha 500 Dual SIM,2013,October,"499,473",37,2.8,240,320,2,240p,64MB,64MB,1200,GSM,100.3,58.1,12.8,Nokia Asha software platform 1.1.1 ,,,,microSDHC,Yes,Yes,Wi-Fi,3.0,No,Stereo,60
Nokia,Asha 502 Dual SIM,2013,October,"2,950,785",75,3.0,240,320,5,240p,64MB,64MB,1010,GSM,99.6,59.5,11.1,"Nokia Asha software platform 1.1.1, upgradable to 1.4",,,,microSDHC,Yes,Yes,Wi-Fi,3.0,No,Stereo,80
